Campaign name,Ad group,Date,Impressions,Clicks,Average CPC,Cost,Conversions,Conversion value,CTR,Device,Network
Holiday Promo Q4,AdGroup - Holiday,2025-04-03,5497,437,4.73,2067.01,22,48400,7.96%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-03,4622,446,1.72,767.12,5,3500,9.66%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-04,6346,168,1.48,248.64,3,3600,2.65%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-04-04,3342,336,2.95,991.2,11,19800,10.08%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-04,4098,404,1.99,803.96,5,4750,9.88%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-04,2281,226,3.87,874.62,7,15400,9.94%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-04-04,3747,296,1.86,550.56,4,2800,7.91%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-05,2538,127,3.97,504.19,1,1200,5.02%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-04-05,6033,331,3.84,1271.04,18,32400,5.5%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-04-05,4295,42,1.91,80.22,1,950,1.0%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-05,2889,252,4.79,1207.08,16,35200,8.75%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-04-05,7251,297,1.97,585.09,1,700,4.11%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-06,2777,217,3.37,731.29,1,1200,7.84%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-06,3102,115,3.06,351.9,5,9000,3.72%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-06,3703,261,1.76,459.36,4,3800,7.06%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-04-06,5698,784,2.8,2195.2,43,94600,13.77%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-06,1346,114,2.13,242.82,1,700,8.48%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-07,3663,187,2.72,508.64,1,1200,5.13%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-04-07,2957,225,2.27,510.75,8,14400,7.61%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-04-07,4098,213,2.81,598.53,5,4750,5.21%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-07,5604,467,5.54,2587.18,28,61600,8.34%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-04-07,1037,71,1.71,121.41,0,0,6.94%,Desktop,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-08,6311,321,2.47,792.87,4,4800,5.1%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-04-08,3753,387,3.52,1362.24,10,18000,10.32%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-08,4233,469,1.8,844.2,9,8550,11.1%,Tablet,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-08,2549,138,3.07,423.66,3,6600,5.43%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-08,1960,199,2.26,449.74,3,2100,10.19%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-09,3853,532,2.63,1399.16,4,4800,13.83%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-04-09,6436,618,3.7,2286.6,29,52200,9.61%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-09,5778,697,1.71,1191.87,11,10450,12.08%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-09,4959,401,4.36,1748.36,21,46200,8.09%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-04-09,6963,754,1.77,1334.58,9,6300,10.83%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-10,2340,99,2.11,208.89,0,0,4.23%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-04-10,2108,160,3.34,534.4,6,10800,7.59%,Desktop,Google Display
New Store Launch,AdGroup - New,2025-04-10,3447,190,2.34,444.6,5,4750,5.53%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-04-10,2033,219,3.43,751.17,12,26400,10.82%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-10,3252,326,1.36,443.36,5,3500,10.04%,Desktop,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-11,2742,323,2.27,733.21,3,3600,11.8%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-04-11,4067,347,2.2,763.4,8,14400,8.55%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-11,5172,342,1.81,619.02,7,6650,6.62%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-11,5133,501,4.6,2304.6,30,66000,9.77%,Tablet,Google Search
Referral Boost,AdGroup - Referral,2025-04-11,4020,240,2.24,537.6,2,1400,5.99%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-12,3270,306,3.16,966.96,6,7200,9.37%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-04-12,5773,782,3.82,2987.24,25,45000,13.56%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-04-12,4662,320,2.22,710.4,6,5700,6.88%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-04-12,5104,518,3.61,1869.98,25,55000,10.16%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-04-12,4351,399,1.74,694.26,2,1400,9.17%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-13,5683,654,2.13,1393.02,11,13200,11.52%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-13,3438,216,4.36,941.76,10,18000,6.31%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-04-13,6497,653,2.17,1417.01,20,19000,10.06%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-13,4861,203,3.84,779.52,11,24200,4.19%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-04-13,6799,830,1.63,1352.9,3,2100,12.22%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-14,3940,405,2.63,1065.15,9,10800,10.29%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-14,5110,259,3.77,976.43,20,36000,5.09%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-04-14,3219,269,2.03,546.07,5,4750,8.37%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-14,3392,234,3.93,919.62,7,15400,6.91%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-14,3046,70,1.72,120.4,0,0,2.31%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-15,4074,364,2.94,1070.16,4,4800,8.94%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-15,3192,202,2.83,571.66,7,12600,6.36%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-15,5059,294,1.83,538.02,9,8550,5.83%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-15,2776,48,3.98,191.04,2,4400,1.75%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-04-15,4442,692,1.93,1335.56,5,3500,15.58%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-16,2660,49,2.3,112.7,1,1200,1.84%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-16,6774,442,4.37,1931.54,21,37800,6.54%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-04-16,5387,601,2.05,1232.05,21,19950,11.17%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-16,4093,134,4.06,544.04,6,13200,3.28%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-04-16,6722,449,2.18,978.82,3,2100,6.68%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-17,3801,250,3.45,862.5,4,4800,6.6%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-17,6605,79,3.75,296.25,4,7200,1.21%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-17,3283,163,1.76,286.88,5,4750,4.99%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-04-17,3357,258,4.46,1150.68,9,19800,7.7%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-04-17,3089,210,2.22,466.2,3,2100,6.81%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-18,4457,243,2.16,524.88,6,7200,5.45%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-18,4968,555,2.79,1548.45,22,39600,11.19%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-18,4854,484,1.99,963.16,5,4750,9.99%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-18,4604,319,2.26,720.94,19,41800,6.94%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-18,985,131,1.3,170.3,6,4200,13.32%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-19,3589,310,2.57,796.7,5,6000,8.65%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-04-19,970,53,3.2,169.6,0,0,5.55%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-19,3735,312,1.98,617.76,4,3800,8.36%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-19,3530,291,3.37,980.67,12,26400,8.25%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-19,3491,393,1.61,632.73,5,3500,11.27%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-20,4704,457,2.56,1169.92,6,7200,9.73%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-20,4313,491,2.74,1345.34,18,32400,11.39%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-04-20,5284,476,2.08,990.08,8,7600,9.02%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-20,5470,335,3.37,1128.95,14,30800,6.13%,Tablet,Google Search
Referral Boost,AdGroup - Referral,2025-04-20,5599,586,2.17,1271.62,6,4200,10.47%,Tablet,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-21,3260,222,1.68,372.96,2,2400,6.81%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-04-21,3577,218,2.46,536.28,13,23400,6.09%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-21,4652,188,2.03,381.64,2,1900,4.06%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-21,50,4,4.77,19.08,0,0,9.97%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-04-21,2743,349,2.14,746.86,6,4200,12.74%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-22,3811,159,2.96,470.64,1,1200,4.19%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-22,6001,403,3.43,1382.29,16,28800,6.72%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-22,3311,325,1.35,438.75,6,5700,9.84%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-22,5533,432,5.14,2220.48,23,50600,7.82%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-04-22,2897,383,2.09,800.47,6,4200,13.23%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-23,3982,309,1.93,596.37,2,2400,7.78%,Tablet,Google Search
Valentine Push,AdGroup - Valentine,2025-04-23,7784,618,2.77,1711.86,28,50400,7.95%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-04-23,2738,211,2.1,443.1,3,2850,7.73%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-23,2304,168,4.47,750.96,7,15400,7.3%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-23,3546,466,2.0,932.0,3,2100,13.16%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-24,2163,190,2.72,516.8,3,3600,8.79%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-24,3291,349,2.23,778.27,18,32400,10.62%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-24,50,4,2.18,8.72,0,0,8.95%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-24,4452,393,3.68,1446.24,19,41800,8.85%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-24,4218,336,1.82,611.52,3,2100,7.98%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-25,2722,187,2.81,525.47,3,3600,6.88%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-04-25,4402,44,3.93,172.92,3,5400,1.0%,Desktop,Google Display
New Store Launch,AdGroup - New,2025-04-25,2109,113,1.88,212.44,2,1900,5.37%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-25,2991,209,3.54,739.86,8,17600,7.0%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-04-25,4026,238,1.25,297.5,2,1400,5.91%,Desktop,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-26,4649,397,2.37,940.89,10,12000,8.56%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-04-26,2262,285,3.33,949.05,13,23400,12.61%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-04-26,6614,436,2.11,919.96,12,11400,6.6%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-26,1216,50,3.95,197.5,4,8800,4.15%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-26,4631,440,1.16,510.4,3,2100,9.52%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-27,4024,352,2.07,728.64,6,7200,8.76%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-04-27,6085,702,2.9,2035.8,25,45000,11.54%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-04-27,6640,711,1.71,1215.81,20,19000,10.71%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-27,4708,252,3.26,821.52,13,28600,5.35%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-27,3715,143,1.94,277.42,0,0,3.87%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-28,4543,186,2.67,496.62,2,2400,4.1%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-04-28,4903,315,3.11,979.65,7,12600,6.43%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-28,5276,338,1.97,665.86,7,6650,6.42%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-04-28,4032,297,2.68,795.96,23,50600,7.39%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-28,6409,284,2.14,607.76,5,3500,4.44%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-29,4018,228,2.72,620.16,2,2400,5.69%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-04-29,4871,75,2.81,210.75,5,9000,1.54%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-04-29,50,3,1.58,4.74,0,0,6.38%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-29,1719,160,4.69,750.4,5,11000,9.33%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-29,2435,54,1.66,89.64,0,0,2.24%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-04-30,4403,399,1.93,770.07,4,4800,9.08%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-04-30,2663,139,2.26,314.14,6,10800,5.24%,Desktop,Google Display
New Store Launch,AdGroup - New,2025-04-30,3414,217,2.47,535.99,2,1900,6.37%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-04-30,2371,241,4.83,1164.03,16,35200,10.18%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-04-30,6911,245,2.44,597.8,2,1400,3.56%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-01,4024,354,2.59,916.86,7,8400,8.81%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-05-01,5221,495,2.74,1356.3,17,30600,9.49%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-05-01,5933,525,2.47,1296.75,11,10450,8.85%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-05-01,2816,65,5.6,364.0,2,4400,2.34%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-05-01,3008,293,2.29,670.97,2,1400,9.77%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-02,5626,603,2.66,1603.98,4,4800,10.72%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-05-02,5752,424,2.93,1242.32,9,16200,7.38%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-02,1544,119,1.89,224.91,2,1900,7.73%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-02,6094,227,4.25,964.75,12,26400,3.74%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-02,5990,484,1.51,730.84,4,2800,8.09%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-03,5245,278,2.61,725.58,5,6000,5.3%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-05-03,1796,198,3.94,780.12,13,23400,11.05%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-03,3261,174,2.47,429.78,4,3800,5.36%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-05-03,6737,740,3.08,2279.2,39,85800,11.0%,Desktop,YouTube
Referral Boost,AdGroup - Referral,2025-05-03,3443,287,2.35,674.45,4,2800,8.36%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-04,3597,170,3.18,540.6,1,1200,4.75%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-04,5495,868,3.26,2829.68,37,66600,15.8%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-04,3320,220,1.75,385.0,2,1900,6.65%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-05-04,6711,67,5.15,345.05,2,4400,1.0%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-04,5090,565,2.21,1248.65,4,2800,11.12%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-05,4908,217,3.05,661.85,4,4800,4.42%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-05-05,6175,601,4.12,2476.12,20,36000,9.74%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-05,7712,343,1.86,637.98,4,3800,4.46%,Tablet,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-05,5208,789,3.57,2816.73,36,79200,15.16%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-05,6354,910,2.04,1856.4,12,8400,14.34%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-06,2677,113,2.92,329.96,1,1200,4.22%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-05-06,5100,579,2.69,1557.51,25,45000,11.36%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-06,6632,597,2.72,1623.84,11,10450,9.01%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-06,4022,282,4.73,1333.86,12,26400,7.03%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-06,6098,405,2.37,959.85,3,2100,6.65%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-07,4910,224,2.46,551.04,1,1200,4.56%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-07,5090,451,2.57,1159.07,31,55800,8.87%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-07,3191,216,1.91,412.56,4,3800,6.78%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-07,6023,356,4.25,1513.0,21,46200,5.92%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-05-07,8250,484,1.15,556.6,4,2800,5.87%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-08,6818,614,2.14,1313.96,7,8400,9.02%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-08,6077,502,2.02,1014.04,24,43200,8.26%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-08,5962,601,2.06,1238.06,11,10450,10.08%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-08,4250,172,3.48,598.56,13,28600,4.05%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-05-08,4842,693,1.65,1143.45,9,6300,14.31%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-09,5422,274,2.45,671.3,4,4800,5.06%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-05-09,3844,262,4.51,1181.62,13,23400,6.83%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-05-09,3698,371,1.93,716.03,8,7600,10.03%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-09,2978,298,4.27,1272.46,14,30800,10.02%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-09,5072,564,2.21,1246.44,6,4200,11.13%,Desktop,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-10,3744,333,3.17,1055.61,4,4800,8.9%,Tablet,Google Search
Valentine Push,AdGroup - Valentine,2025-05-10,2567,231,3.91,903.21,7,12600,9.02%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-05-10,7486,593,2.64,1565.52,9,8550,7.92%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-10,2758,189,3.68,695.52,8,17600,6.87%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-10,3761,37,2.54,93.98,0,0,1.0%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-11,3491,262,2.56,670.72,4,4800,7.53%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-05-11,3481,279,2.34,652.86,12,21600,8.03%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-05-11,3851,383,1.34,513.22,7,6650,9.96%,Tablet,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-05-11,4762,496,2.37,1175.52,18,39600,10.43%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-05-11,2913,373,0.85,317.05,1,700,12.81%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-12,4098,495,2.83,1400.85,6,7200,12.09%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-12,5514,585,2.3,1345.5,30,54000,10.62%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-12,8550,944,1.75,1652.0,30,28500,11.04%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-05-12,3839,356,2.85,1014.6,27,59400,9.29%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-05-12,2030,226,1.48,334.48,2,1400,11.16%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-13,5092,424,2.58,1093.92,4,4800,8.35%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-13,4033,363,1.6,580.8,25,45000,9.01%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-05-13,3081,204,2.55,520.2,4,3800,6.65%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-13,2830,339,5.62,1905.18,13,28600,11.99%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-13,2487,211,2.23,470.53,2,1400,8.52%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-14,3647,424,2.66,1127.84,8,9600,11.63%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-14,3986,225,4.36,981.0,9,16200,5.66%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-14,2371,46,1.99,91.54,1,950,1.98%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-14,3246,237,4.8,1137.6,11,24200,7.31%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-05-14,7764,635,2.19,1390.65,9,6300,8.19%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-15,6921,427,2.57,1097.39,4,4800,6.18%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-15,5823,294,2.52,740.88,12,21600,5.05%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-15,3495,283,1.4,396.2,4,3800,8.1%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-05-15,4724,505,4.6,2323.0,33,72600,10.71%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-15,4422,464,2.49,1155.36,5,3500,10.5%,Desktop,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-16,5714,261,3.0,783.0,6,7200,4.58%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-05-16,4168,368,2.9,1067.2,19,34200,8.85%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-05-16,4034,397,1.68,666.96,10,9500,9.85%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-16,5422,437,4.92,2150.04,25,55000,8.06%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-05-16,3532,160,1.7,272.0,2,1400,4.54%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-17,4616,143,2.16,308.88,3,3600,3.12%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-05-17,1914,54,2.8,151.2,1,1800,2.87%,Desktop,YouTube
New Store Launch,AdGroup - New,2025-05-17,6595,357,1.4,499.8,3,2850,5.42%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-17,2847,144,3.19,459.36,9,19800,5.07%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-05-17,3735,327,1.92,627.84,4,2800,8.77%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-18,4795,382,3.61,1379.02,3,3600,7.98%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-05-18,4389,374,3.97,1484.78,18,32400,8.52%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-05-18,5746,608,2.35,1428.8,14,13300,10.59%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-05-18,4277,552,3.81,2103.12,23,50600,12.92%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-05-18,6158,573,1.49,853.77,6,4200,9.31%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-19,5151,444,2.2,976.8,9,10800,8.63%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-05-19,5055,511,3.0,1533.0,23,41400,10.12%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-05-19,4692,378,1.45,548.1,6,5700,8.06%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-05-19,5773,342,5.21,1781.82,13,28600,5.93%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-05-19,4491,366,1.31,479.46,4,2800,8.16%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-05-20,2703,465,3.65,1697.25,4,4800,17.23%,Tablet,Google Search
